,title,issueNum,year,creator
106,Superman/Batman: The Greatest Stories Ever Told,None,2007,Curt Douglas Swan
107,Superman/Batman: The Greatest Stories Ever Told,None,2007,Ryan Ottley
108,Superman/Batman: The Greatest Stories Ever Told,None,2007,Bob Petrecca
109,Superman/Batman: The Greatest Stories Ever Told,None,2007,Edmond Hamilton
110,Superman/Batman: The Greatest Stories Ever Told,None,2007,Tim Sale
111,Superman/Batman: The Greatest Stories Ever Told,None,2007,Joseph 'Joe' Kelly
112,Superman/Batman: The Greatest Stories Ever Told,None,2007,Carlo G. Barberi
113,Superman/Batman: The Greatest Stories Ever Told,None,2007,Andy Owens
114,Superman/Batman: The Greatest Stories Ever Told,None,2007,Sean Gordon Murphy - 'Sean Gordon'
115,Superman/Batman: The Greatest Stories Ever Told,None,2007,Cary Bates
116,Superman/Batman: The Greatest Stories Ever Told,None,2007,Ed James McGuinness
117,Superman/Batman: The Greatest Stories Ever Told,None,2007,"Joseph ""Jeph"" Loeb III"
118,Superman/Batman: The Greatest Stories Ever Told,None,2007,Tom Ziuko
119,Superman/Batman: The Greatest Stories Ever Told,None,2007,Robert Campanella
120,Green Lantern,39,2005,Gabriel A. Eltaeb
121,Green Lantern,39,2005,Geoff Johns
122,Green Lantern,39,2005,Jonathan Glapion
123,Green Lantern,39,2005,Randy G. Mayor
124,Green Lantern,39,2005,Philip S. Tan
125,Green Lantern,7,2011,Mark John Irwin
126,Green Lantern,7,2011,Christian Alamy
127,Green Lantern,7,2011,Alex Sinclair - 'Sinc'
128,Green Lantern,7,2011,Keith C. Champagne
129,Green Lantern,7,2011,Geoff Johns
130,Green Lantern,7,2011,Doug Mahnke
131,Green Lantern Corps Quarterly,2,1992,Romeo Tanghal
132,Green Lantern Corps Quarterly,2,1992,Gerard Jones
133,Green Lantern Corps Quarterly,2,1992,Mark D. Bright - 'Doc Bright'
134,Green Lantern Corps Quarterly,2,1992,Dusty Abell
135,Green Lantern Corps Quarterly,2,1992,Anthony Tollin
136,Green Lantern Corps Quarterly,2,1992,Terry Austin
137,Green Lantern Corps Quarterly,2,1992,Kevin Dooley
138,Wonder Woman,123,1987,John Byrne
139,Wonder Woman,123,1987,Patricia 'Trish' Mulvihill
140,Justice League Unlimited,43,2004,Keith Ian Giffen
141,Justice League Unlimited,43,2004,Johnny DC
142,Justice League Unlimited,43,2004,Heroic Age
143,Justice League Unlimited,43,2004,Christopher A. Jones - 'Chris Jones'
144,Justice League Unlimited,43,2004,Dan Davis
146,Green Lantern: New Guardians,10,2011,Hi-Fi Colour Design
147,Green Lantern: New Guardians,10,2011,Nathan Eyring
148,Green Lantern: New Guardians,10,2011,Antony J.L. Bedard - 'Tony Bedard'
149,Green Lantern: New Guardians,10,2011,Toms Giorello
150,Aquaman and the Others,2,2014,Dan Jurgens
151,Aquaman and the Others,2,2014,Allen Martinez
152,Aquaman and the Others,2,2014,Matt Milla
153,Aquaman and the Others,2,2014,Lan Medina
154,The Greatest Batman Stories Ever Told,None,1988,Eduardo Barreto - 'Luis Eduardo Barreto'
155,Justice League: Generation Lost,6,2010,Fernando Dagnino
156,Justice League: Generation Lost,6,2010,Hi-Fi Colour Design
157,Justice League: Generation Lost,6,2010,Raul Fernandez
158,Justice League: Generation Lost,6,2010,Keith Ian Giffen
159,Justice League: Generation Lost,6,2010,Judd Winick
160,Green Arrow,None,2001,Kevin Smith
161,Green Arrow,None,2001,Ande J. Parks
162,Green Arrow,None,2001,Matt Wagner
163,Green Arrow,None,2001,Phillip 'Phil' Hester
164,Justice League Quarterly,12,1990,Brian Michael Augustyn
165,Justice League Quarterly,12,1990,Buzz Setzer
166,Justice League Quarterly,12,1990,Frank Percy
167,Justice League Quarterly,12,1990,Mark Waid
168,Justice League Quarterly,12,1990,Tony Daniel - 'Antonio Salvador Daniel'
169,Justice League Quarterly,12,1990,Daniel Rodriguez
170,Justice League Quarterly,12,1990,Ken H. Branch
171,The Hellblazer,1,2016,Andre Paul Szymanowicz
172,The Hellblazer,1,2016,Justin Norman - 'Moritat'
173,The Hellblazer,1,2016,Simon Oliver
174,The Flash,141,1987,Mark Millar
175,The Flash,141,1987,Tom J. McCraw
176,The Flash,141,1987,Josh Hood
177,The Flash,141,1987,Pop Mhan
178,The Flash,141,1987,Christopher 'Chris' Ivy
179,Scooby Apocalypse,10,2016,Hi-Fi Colour Design
180,Scooby Apocalypse,10,2016,Keith Ian Giffen
181,Scooby Apocalypse,10,2016,Hanna-Barbera
182,Scooby Apocalypse,10,2016,Chris Batista
183,Scooby Apocalypse,10,2016,Howard Porter
184,Scooby Apocalypse,10,2016,John Marc 'J.M.' DeMatteis
185,Scooby Apocalypse,10,2016,Marc Deering
187,The Flash,199,1987,Scott Kolins
188,The Flash,199,1987,Geoff Johns
189,The Flash,199,1987,Doug Hazlewood
190,The Flash,199,1987,James R. Sinclair - 'Jim'
191,Green Arrow,52,2011,Szymon Kudranski
192,Green Arrow,52,2011,Benjamin Percy
193,Green Arrow,52,2011,Gabriel A. Eltaeb
194,The Flash,154,1959,Carmine Infantino
195,The Flash,154,1959,Julius Schwartz
196,The Flash,154,1959,Gardner F. Fox
197,The Flash,154,1959,Murphy Anderson
198,The Flash,154,1959,John Broome
199,The Flash,154,1959,Joe Giella
200,The Flash,112,1987,Tom J. McCraw
201,The Flash,112,1987,Hanibal Rodriguez - 'Anibal Rodriguez'
202,The Flash,112,1987,Anthony Castrillo - 'MAC'
203,The Flash,112,1987,Mark Waid
204,Green Arrow: The Wonder Year,3,1993,Gray Morrow - 'Dwight Graydon Morrow'
205,Green Arrow: The Wonder Year,3,1993,Mike Grell
206,Green Arrow: The Wonder Year,3,1993,Julia Lacquement
207,Green Lantern,186,1960,Mike DeCarlo
208,Green Lantern,186,1960,Anthony Tollin
209,Green Lantern,186,1960,Dave Gibbons
210,Green Lantern,186,1960,Len Wein
211,Justice League of America,8,2013,Hi-Fi Colour Design
212,Justice League of America,8,2013,Gabriel A. Eltaeb
213,Justice League of America,8,2013,Christian Alamy
214,Justice League of America,8,2013,Marc Deering
215,Justice League of America,8,2013,Tom Nguyen
216,Justice League of America,8,2013,Matt Kindt
217,Justice League of America,8,2013,Keith C. Champagne
218,Justice League of America,8,2013,Doug Mahnke
219,Green Arrow/Black Canary,2,2007,Cliff Wu Chiang
220,Green Arrow/Black Canary,2,2007,Patricia 'Trish' Mulvihill
221,Green Arrow/Black Canary,2,2007,Judd Winick
222,Green Lantern,127,1960,Anthony Tollin
223,Green Lantern,127,1960,Frank McLaughlin
224,Green Lantern,127,1960,Joe Staton
225,Green Lantern,127,1960,Dennis 'Denny' O'Neil
226,Wonder Woman,247,1942,Dick Giordano
227,Wonder Woman,247,1942,Larry Hama
228,Wonder Woman,247,1942,Jos Delbo
229,Wonder Woman,247,1942,Mario Sen
230,Wonder Woman,247,1942,Joe Giella
231,Wonder Woman,247,1942,Jack C. Harris
232,Wonder Woman,247,1942,Rich Buckler
233,Flashpoint: Secret Seven,2,2011,Scott Koblish
234,Flashpoint: Secret Seven,2,2011,Fernando Blanco
235,Flashpoint: Secret Seven,2,2011,Brian Buccellato - 'Brian Bucce'
236,Flashpoint: Secret Seven,2,2011,Peter Milligan
237,Wonder Woman,5,2006,Bruno Hang - 'Impacto'
238,Wonder Woman,5,2006,William Murai - 'Will'
239,Wonder Woman,5,2006,Geraldo Borges
240,Wonder Woman,5,2006,Wellington Diaz
241,Wonder Woman,5,2006,Debora Carita
242,Wonder Woman,5,2006,Will Pfeifer
243,Wonder Woman,5,2006,Jean Diaz
244,Justice League/Power Rangers,1,2017,Stephen Byrne
245,Justice League/Power Rangers,1,2017,Tom Taylor
246,Justice League International,21,1987,John Marc 'J.M.' DeMatteis
247,Justice League International,21,1987,Gene D'Angelo
248,Justice League International,21,1987,Josef 'Joe' Rubinstein
249,Justice League International,21,1987,Keith Ian Giffen
250,Justice League International,21,1987,Ty Templeton
251,The Flash,266,1959,Frank McLaughlin
252,The Flash,266,1959,Irving ''Irv'' Novick
253,The Flash,266,1959,Cary Bates
254,The Flash,266,1959,Gene D'Angelo
255,DC Super Hero Girls,1,2016,Shea Fontana
256,DC Super Hero Girls,1,2016,Monica Kubina - 'Colorgraphix'
257,DC Super Hero Girls,1,2016,Yancey Labat
258,Justice League Adventures,11,2002,Dan Slott
259,Justice League Adventures,11,2002,Min Sung Ku - 'Min S. Ku'
260,Justice League Adventures,11,2002,Heroic Age
261,Justice League Adventures,11,2002,Dan Davis
262,Justice League Adventures,11,2002,John Kalisz
263,The Legend of Wonder Woman,4,2016,Ray Dillon
264,The Legend of Wonder Woman,4,2016,Renae De Liz
265,Nightwing,5,2011,Paulo Vilarinho Siqueira - 'Paulo Siqueira'
266,Nightwing,5,2011,Eddy Barrows
267,Nightwing,5,2011,Eber Ferreira
268,Nightwing,5,2011,Kyle Higgins
269,Nightwing,5,2011,Rodrigo Reis - 'Rod'
270,The Flash,247,1959,Frank McLaughlin
272,The Flash,247,1959,Irving ''Irv'' Novick
273,The Flash,247,1959,Cary Bates
274,Justice League vs. Suicide Squad,1,2017,Joshua Williamson
275,Justice League vs. Suicide Squad,1,2017,Alex Sinclair - 'Sinc'
276,Justice League vs. Suicide Squad,1,2017,Jason Fabok
277,Wonder Woman,0,2011,Cliff Wu Chiang
278,Wonder Woman,0,2011,Matthew 'Matt' Wilson - '(Primarily an artist)'
279,Wonder Woman,0,2011,Brian Azzarello
280,Supergirl,1,1972,Art Saaf
281,Supergirl,1,1972,E. Nelson Bridwell
282,Supergirl,1,1972,Len Wein
283,Supergirl,1,1972,John Rosenberger
284,Supergirl,1,1972,Cary Bates
285,Supergirl,1,1972,Dick Giordano
286,Supergirl,1,1972,Vincent Joseph Colletta - 'Vince / Vinnie / P. Zorito'
287,Supergirl,1,1972,Marv Wolfman
288,Birds of Prey,37,1999,Charles 'Chuck' Dixon
289,Birds of Prey,37,1999,lvaro Lpez - 'Bakadori'
290,Birds of Prey,37,1999,Marcos Martin
291,Birds of Prey,37,1999,Wildstorm FX
292,Green Arrow [II],1,2010,Jeffrey T. Krul - 'J.T. Krul'
293,Green Arrow [II],1,2010,Ulises Arreola
294,Green Arrow [II],1,2010,Vicente Cifuentes
295,Green Arrow [II],1,2010,Diogenes Neves
296,Green Lantern,43,2005,Geoff Johns
297,Green Lantern,43,2005,Christian Alamy
298,Green Lantern,43,2005,Doug Mahnke
299,Green Lantern,43,2005,Randy G. Mayor
300,Supergirl,7,2005,Ian Churchill
301,Supergirl,7,2005,Joseph 'Joe' Kelly
302,Supergirl,7,2005,Rodrigo Reis - 'Rod'
303,Supergirl,7,2005,Norm Rapmund
304,Supergirl,7,2005,Greg Rucka
306,The Flash,189,1959,Mike Esposito - 'Espo'
307,The Flash,189,1959,Ross Andru
308,The Flash,189,1959,John Broome
309,Supergirl,22,1996,Leonard Kirk
310,Supergirl,22,1996,Digital Chameleon
311,Supergirl,22,1996,Peter Allen David - 'PAD'
312,Supergirl,22,1996,Gene D'Angelo
313,Supergirl,22,1996,Prentis Rollins
314,Green Lantern,13,2011,Mark John Irwin
315,Green Lantern,13,2011,Christian Alamy
316,Green Lantern,13,2011,Marc Deering
317,Green Lantern,13,2011,Tom Nguyen
318,Green Lantern,13,2011,Alex Sinclair - 'Sinc'
319,Green Lantern,13,2011,Tony Avia
320,Green Lantern,13,2011,Keith C. Champagne
321,Green Lantern,13,2011,Geoff Johns
322,Green Lantern,13,2011,Doug Mahnke
323,Injustice: Gods Among Us: Year Five,10,2016,J. Nanjan
324,Injustice: Gods Among Us: Year Five,10,2016,Mike S. Miller
325,Injustice: Gods Among Us: Year Five,10,2016,Brian Buccellato - 'Brian Bucce'
326,Wonder Woman '77 [II],2,2015,Marc Andreyko
327,Slash & Burn,2,2016,Si Spencer
328,Slash & Burn,2,2016,Vertigo
329,Slash & Burn,2,2016,Ande J. Parks
330,Slash & Burn,2,2016,Nick Filardi
331,Slash & Burn,2,2016,Max Dunbar
333,Batman 80-Page Giant,1,2010,Andy Kubert
334,Batman 80-Page Giant,1,2010,Michael Siglain
335,Batman 80-Page Giant,1,2010,Nelson Asencio
336,Batman 80-Page Giant,1,2010,Harvey Richards
337,Batman 80-Page Giant,1,2010,Grey Williamson - 'Grey'
338,Batman 80-Page Giant,1,2010,Wes Dzioba
339,Batman 80-Page Giant,1,2010,Alex Sinclair - 'Sinc'
340,Batman 80-Page Giant,1,2010,Kevin Grevioux
341,Batman 80-Page Giant,1,2010,Janelle Siegel
342,Batman 80-Page Giant,1,2010,Michael 'Mike' Marts
343,Wonder Woman,13,1987,Carl Gafford - 'Gaff'
344,Wonder Woman,13,1987,Bruce D. Patterson
345,Wonder Woman,13,1987,George Prez
346,Wonder Woman,13,1987,Len Wein
347,Green Lantern,17,1990,Romeo Tanghal
348,Green Lantern,17,1990,Mark D. Bright - 'Doc Bright'
349,Green Lantern,17,1990,Gerard Jones
350,Green Lantern,17,1990,Matthew 'Matt' Hollingsworth
352,Wonder Woman,163,1942,Robert 'Bob' Kanigher
353,Wonder Woman,163,1942,Mike Esposito - 'Espo'
354,Wonder Woman,163,1942,Ross Andru
355,Green Lantern,33,2005,Geoff Johns
356,Green Lantern,33,2005,Ivan Reis - 'Rodrigo Ivan dos Reis'
357,Green Lantern,33,2005,Oclair Albert
358,Green Lantern,33,2005,Randy G. Mayor
359,Green Lantern,165,1960,Dan Adkins
360,Green Lantern,165,1960,Mike W. Barr
361,Green Lantern,165,1960,Gene D'Angelo
362,Green Lantern,165,1960,Keith Pollard
363,Green Lantern,165,1960,Gil Kane
364,Wonder Woman '77 [I],7,2015,Romulo Fajardo Jr.
365,Wonder Woman '77 [I],7,2015,Drew Edward Johnson
366,Wonder Woman '77 [I],7,2015,Marc Andreyko
367,Green Arrow,35,2001,Ande J. Parks
368,Green Arrow,35,2001,Phillip 'Phil' Hester
369,Green Arrow,35,2001,Guy Major
370,Green Arrow,35,2001,Judd Winick
371,Birds of Prey,16,1999,Charles 'Chuck' Dixon
372,Birds of Prey,16,1999,Gloria Vasquez
373,Birds of Prey,16,1999,Jackson 'Butch' Guice
374,Birds of Prey,16,1999,Digital Chameleon
375,Justice League of America,8,2015,Daniel Henriques
376,Justice League of America,8,2015,Alex Sinclair - 'Sinc'
377,Justice League of America,8,2015,Bryan Hitch
378,Cave Carson Has a Cybernetic Eye,1,2016,Bill Sienkiewicz
379,Cave Carson Has a Cybernetic Eye,1,2016,Gerard Arthur Way
380,Cave Carson Has a Cybernetic Eye,1,2016,Young Animal
381,Cave Carson Has a Cybernetic Eye,1,2016,Molly Mahan
382,Cave Carson Has a Cybernetic Eye,1,2016,Jon Rivera
383,Cave Carson Has a Cybernetic Eye,1,2016,Nick Filardi
384,Cave Carson Has a Cybernetic Eye,1,2016,Michael Avon Oeming
385,Cave Carson Has a Cybernetic Eye,1,2016,Robert 'Bob' Harras
387,Raven,5,2016,Stephanie Hans
388,Raven,5,2016,Diogenes Neves
389,Raven,5,2016,Alisson Borges
390,Raven,5,2016,Marv Wolfman
391,Raven,5,2016,Ruy Jose
392,Justice League Adventures,32,2002,Dean Haspiel - 'Dino'
393,Justice League Adventures,32,2002,Heroic Age
394,Justice League Adventures,32,2002,Keith Ian Giffen
396,Justice League Adventures,32,2002,Cartoon Network
397,The Flash: Season Zero [I],11,2014,Andrew Kreisberg
398,The Flash: Season Zero [I],11,2014,Eric Gapstur
399,The Flash: Season Zero [I],11,2014,Kelsey Shannon
400,The Flash: Season Zero [I],11,2014,Lauren Certo
401,The Flash: Season Zero [I],11,2014,Kai Yu Wu
402,The Flash: Season Zero [I],11,2014,Phillip 'Phil' Hester
403,Green Lantern Secret Files and Origins 2005,1,2005,Darwyn Cooke
404,Green Lantern Secret Files and Origins 2005,1,2005,Harvey Richards
405,Green Lantern Secret Files and Origins 2005,1,2005,Stephen Wacker
406,Green Lantern Secret Files and Origins 2005,1,2005,Carlos Pacheco
407,Green Lantern Secret Files and Origins 2005,1,2005,Ivan Cohen
408,Green Lantern Secret Files and Origins 2005,1,2005,Jesus Merino
409,Green Lantern Secret Files and Origins 2005,1,2005,Peter J. Tomasi
410,Green Lantern Secret Files and Origins 2005,1,2005,Geoff Johns
411,Green Lantern Secret Files and Origins 2005,1,2005,Dave Stewart
412,Aquaman,57,1962,Jim Aparo
413,Aquaman,57,1962,Elizabeth Ann Berube - 'Liz Berube; Elizabeth'
414,Aquaman,57,1962,David Michelinie
415,Supergirl,38,2005,Keith C. Champagne
416,Supergirl,38,2005,Sterling Gates
417,Supergirl,38,2005,Nei Ruffino
418,Supergirl,38,2005,Jamal Yaseem Igle
419,Aquaman,9,2016,Scot Eaton
420,Aquaman,9,2016,Wayne Faucher
421,Aquaman,9,2016,Gabriel A. Eltaeb
422,Aquaman,9,2016,Dan Abnett
423,The Flash,51,2011,Van Jensen
424,The Flash,51,2011,Guy Major
425,The Flash,51,2011,Joe Eisma
426,The Flash,51,2011,Gus Vasquez
427,Batman: Li'l Gotham,6,2013,Derek Fridolfs
428,Batman: Li'l Gotham,6,2013,Dustin Nguyen
429,Birds of Prey,64,1999,Ed Benes
430,Birds of Prey,64,1999,Alex Lei - 'Juci Leito Alexandre'
431,Birds of Prey,64,1999,Hi-Fi Colour Design
432,Birds of Prey,64,1999,Gail Simone
433,Green Lantern,21,2011,Robert Venditti
434,Green Lantern,21,2011,Tony Avia
435,Green Lantern,21,2011,Alex Sinclair - 'Sinc'
436,Green Lantern,21,2011,Richard Friend
437,Green Lantern,21,2011,Billy Tan - 'Billy Tan Mung Khoy'
438,Aquaman: Sword of Atlantis,43,2006,Tony DeZuniga
439,Aquaman: Sword of Atlantis,43,2006,Kurt Busiek
440,Aquaman: Sword of Atlantis,43,2006,Jackson 'Butch' Guice
441,Aquaman: Sword of Atlantis,43,2006,Daniel 'Dan' Brown
442,Justice League International,68,1993,Phil Jimenez
443,Justice League International,68,1993,John Stokes
444,Justice League International,68,1993,Christopher Priest
445,Justice League International,68,1993,Gene D'Angelo
446,Injustice: Gods Among Us: Year Five,7,2016,J. Nanjan
447,Injustice: Gods Among Us: Year Five,7,2016,Mike S. Miller
448,Injustice: Gods Among Us: Year Five,7,2016,Brian Buccellato - 'Brian Bucce'
449,The Flash,70,1987,Greg LaRocque
450,The Flash,70,1987,Roy Richardson
451,The Flash,70,1987,Gerard Jones
452,The Flash,70,1987,Matthew 'Matt' Hollingsworth
453,The Flash,70,1987,Mark Waid
454,Green Lantern,88,1960,Neal Adams
455,Green Lantern,88,1960,Julius Schwartz
456,Green Lantern,88,1960,Carmine Infantino
458,Green Lantern,88,1960,Bernard Sachs
459,Wonder Woman,44,1942,Robert 'Bob' Kanigher
460,Wonder Woman,44,1942,Irwin Hasen
461,Wonder Woman,44,1942,Whitney Ellsworth
462,The Legend of Wonder Woman,2,2016,Ray Dillon
463,The Legend of Wonder Woman,2,2016,Renae De Liz
464,Harley Quinn and the Suicide Squad April Fools' Special,1,2016,Richard Friend
465,Harley Quinn and the Suicide Squad April Fools' Special,1,2016,Sean Galloway - 'Cheeks'
466,Harley Quinn and the Suicide Squad April Fools' Special,1,2016,Rob Williams
467,Harley Quinn and the Suicide Squad April Fools' Special,1,2016,Alex Sinclair - 'Sinc'
468,Harley Quinn and the Suicide Squad April Fools' Special,1,2016,Scott Williams
469,Harley Quinn and the Suicide Squad April Fools' Special,1,2016,Jim Lee
470,Harley Quinn and the Suicide Squad April Fools' Special,1,2016,Sandra Hope-Archer
471,The Legend of Wonder Woman,1,1986,Kurt Busiek
472,The Legend of Wonder Woman,1,1986,Nansi Hoolahan
473,The Legend of Wonder Woman,1,1986,Trina Robbins
474,Green Lantern,12,2011,Geoff Johns
475,Green Lantern,12,2011,Jim Calafiore
476,Green Lantern,12,2011,Alex Sinclair - 'Sinc'
477,Green Lantern,12,2011,Renato Guedes
478,DC Sneak Peek: Justice League United,1,2015,Jeromy N. Cox
479,DC Sneak Peek: Justice League United,1,2015,Travel Foreman
480,DC Sneak Peek: Justice League United,1,2015,Jeff Parker
481,Green Lantern: Emerald Dawn,None,1989,Romeo Tanghal
482,Green Lantern: Emerald Dawn,None,1989,Mark D. Bright - 'Doc Bright'
483,Green Lantern: Emerald Dawn,None,1989,Anthony Tollin
484,Green Lantern: Emerald Dawn,None,1989,Jim Owsley
485,Aquaman,5,1989,Tom J. McCraw
486,Aquaman,5,1989,Curt Douglas Swan
487,Aquaman,5,1989,Keith Ian Giffen
488,Aquaman,5,1989,Robert Loren Fleming
489,Aquaman,5,1989,Al Vey
490,Batman Incorporated,4,2012,Grant Morrison
491,Batman Incorporated,4,2012,Nathan Fairbairn
492,Batman Incorporated,4,2012,Chris Burnham
493,Justice League of America 80 Page Giant,1,2009,Pete Pantazis
494,Justice League of America 80 Page Giant,1,2009,Rex Ogle
495,Justice League of America 80 Page Giant,1,2009,Mahmud  A. Asrar
496,Justice League of America 80 Page Giant,1,2009,Robert 'Rob' Hunter - 'Bobby-C'
497,The Flash,89,1987,Mike Deodato Jr. - 'Deodato Taumaturgo Borges Filho'
498,The Flash,89,1987,Gina Going-Raney - 'Gina Going'
499,The Flash,89,1987,Kris Renkewitz
500,The Flash,89,1987,Mark Waid
501,Superman: The Doomsday Wars,1,1998,Dan Jurgens
502,Superman: The Doomsday Wars,1,1998,Gregory A. Wright
503,Superman: The Doomsday Wars,1,1998,Android Images
504,Superman: The Doomsday Wars,1,1998,Norm Rapmund
505,Flash Comics,73,1940,Sheldon Mayer
506,Flash Comics,73,1940,Julius Schwartz
507,Flash Comics,73,1940,Joe Kubert
508,Green Lantern,5,2005,Geoff Johns
509,Green Lantern,5,2005,Ethan Van Sciver
510,Green Lantern,5,2005,Prentis Rollins
511,Green Lantern,5,2005,W. Moose Baumann
512,Justice League of America,226,1960,Frank McLaughlin
513,Justice League of America,226,1960,Joey Cavalieri
514,Justice League of America,226,1960,Chuck Patton
515,Justice League of America,226,1960,Gene D'Angelo
516,Green Lantern,1,2005,Jesus Merino
517,Green Lantern,1,2005,Geoff Johns
518,Green Lantern,1,2005,Ethan Van Sciver
519,Green Lantern,1,2005,Carlos Pacheco
520,Green Lantern,1,2005,W. Moose Baumann
521,Justice League of America's Vibe,8,2013,Mark John Irwin
522,Justice League of America's Vibe,8,2013,Sterling Gates
523,Justice League of America's Vibe,8,2013,Marc Deering
524,Justice League of America's Vibe,8,2013,Brad Anderson
